Parameters: A=100, B=200, drag=0.50, dt=0.50
Bounding box: width=413.36, height=370.28, area=153056.32
Total potential energy: -11.48
Fixed area: width=500.00, height=500.00, total area=250000.00
Final particle positions:
Particle 0: x=278.67, y=278.68, r=1.62, mass=8.20
Particle 1: x=498.35, y=364.21, r=1.62, mass=8.22
Particle 2: x=371.89, y=131.59, r=1.88, mass=11.10
Particle 3: x=87.75, y=149.03, r=1.13, mass=4.05
Particle 4: x=318.19, y=498.11, r=1.87, mass=11.02
Particle 5: x=158.14, y=360.10, r=1.83, mass=10.57
Particle 6: x=136.22, y=498.13, r=1.85, mass=10.77
Particle 7: x=459.62, y=459.59, r=1.36, mass=5.77
